subset,engine_id,last_cycle,actual_RUL,bilstm_predicted_RUL,gru_attention_predicted_RUL,xgboost_predicted_RUL,ensemble_predicted_RUL,absolute_error,maintenance_priority,suggested_action,suggested_schedule_window
FD001,67,71,77.0,123.676,121.155,108.495,117.775,40.775,low,No immediate maintenance action required; keep routine monitoring.,90+ cycles
FD001,87,56,116.0,120.457,120.107,112.894,117.82,1.82,low,No immediate maintenance action required; keep routine monitoring.,90+ cycles
FD001,22,39,111.0,121.296,123.189,109.036,117.84,6.84,low,No immediate maintenance action required; keep routine monitoring.,90+ cycles
FD001,83,73,125.0,123.875,126.919,105.161,118.651,6.349,low,No immediate maintenance action required; keep routine monitoring.,90+ cycles
FD001,96,97,125.0,120.058,115.249,120.686,118.665,6.335,low,No immediate maintenance action required; keep routine monitoring.,90+ cycles
FD001,69,54,121.0,123.243,121.388,112.341,118.991,2.009,low,No immediate maintenance action required; keep routine monitoring.,90+ cycles
FD001,2,49,98.0,123.2,119.009,116.011,119.407,21.407,low,No immediate maintenance action required; keep routine monitoring.,90+ cycles
FD001,23,130,113.0,120.671,119.952,117.696,119.44,6.44,low,No immediate maintenance action required; keep routine monitoring.,90+ cycles
FD001,54,121,97.0,119.577,120.578,120.237,120.131,23.131,low,No immediate maintenance action required; keep routine monitoring.,90+ cycles
FD001,39,37,125.0,123.989,124.54,114.292,120.94,4.06,low,No immediate maintenance action required; keep routine monitoring.,90+ cycles
FD001,85,34,118.0,123.201,126.964,113.26,121.142,3.142,low,No immediate maintenance action required; keep routine monitoring.,90+ cycles
FD001,99,97,117.0,124.309,121.962,120.838,122.37,5.37,low,No immediate maintenance action required; keep routine monitoring.,90+ cycles
FD001,65,71,125.0,124.232,122.876,121.839,122.982,2.018,low,No immediate maintenance action required; keep routine monitoring.,90+ cycles
FD001,78,72,107.0,124.443,127.244,125.512,125.733,18.733,low,No immediate maintenance action required; keep routine monitoring.,90+ cycles
